N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
111,동서,"30,050",150,-0.50%,500,"29,960","99,700",3.51,"100,856",26.20,8.61,
112,SK케미칼,"251,000","5,500",-2.14%,"5,000","29,496","11,751",18.19,"89,364",11.39,30.49,
113,DL이앤씨,"152,000","1,500",-0.98%,"5,000","29,425","19,359",28.93,"317,591",N/A,N/A,
114,LG화학우,"382,500","3,500",-0.91%,"5,000","29,410","7,689",66.56,"13,178",16.65,N/A,
115,CJ,"100,500","2,000",-1.95%,"5,000","29,323","29,177",17.63,"152,345",-265.17,1.89,
116,BGF리테일,"168,500",500,+0.30%,"1,000","29,123","17,284",31.95,"28,726",23.01,18.60,
117,만도,"61,800","1,700",-2.68%,"1,000","29,020","46,957",24.89,"577,879",62.36,0.37,
118,포스코인터내셔널,"23,400",400,-1.68%,"5,000","28,870","123,375",12.05,"1,309,351",11.16,7.69,
119,제일기획,"24,850",400,-1.58%,200,"28,588","115,041",33.78,"269,038",17.23,16.11,
120,GS리테일,"36,700",550,-1.48%,"1,000","28,259","77,000",10.64,"301,920",18.86,7.50,
121,KCC,"318,000","10,000",-3.05%,"5,000","28,259","8,886",11.61,"60,517",3.28,12.79,
122,더존비즈온,"92,600","1,100",-1.17%,500,"28,095","30,341",39.67,"322,057",51.56,15.09,
123,OCI,"115,500","4,000",-3.35%,"5,000","27,546","23,849",16.48,"434,402",-18.11,-9.89,
124,현대차우,"112,500","1,500",-1.32%,"5,000","27,401","24,357",58.89,"83,498",13.61,N/A,
125,신세계,"276,000","2,500",-0.90%,"5,000","27,173","9,845",27.85,"85,090",-85.00,-2.81,
126,한솔케미칼,"237,000","6,500",-2.67%,"5,000","26,864","11,335",42.01,"40,347",20.71,24.50,
127,DB하이텍,"59,900","2,300",-3.70%,"5,000","26,595","44,399",17.37,"1,103,215",16.79,23.07,
128,현대로템,"23,600",700,-2.88%,"5,000","25,758","109,142",4.12,"2,336,617",54.63,2.84,
129,한화에어로스페이스,"50,800","3,700",-6.79%,"5,000","25,720","50,630",20.93,"1,311,266",11.51,4.78,
130,메리츠화재,"21,250",400,+1.92%,500,"25,633","120,625",10.96,"401,439",5.38,16.91,
131,한샘,"106,000","1,500",-1.40%,"1,000","24,946","23,534",22.20,"74,620",34.01,10.83,
132,하이트진로,"35,500",450,-1.25%,"5,000","24,897","70,134",6.35,"504,706",30.71,8.23,
133,KODEX 단기채권,"102,825",20,+0.02%,0,"24,889","24,205",0.00,"55,421",N/A,N/A,
134,대한전선,"2,900",115,-3.81%,500,"24,838","856,473",2.67,"37,573,662",207.14,0.92,
135,현대위아,"90,400","6,200",-6.42%,"5,000","24,584","27,195",7.62,"1,327,338",159.72,1.96,
136,BNK금융지주,"7,490",40,-0.53%,"5,000","24,413","325,935",38.21,"1,391,329",4.25,6.11,
137,KODEX 200선물인버스2X,"1,910",45,+2.41%,0,"24,129","1,263,300",3.09,"158,956,091",N/A,N/A,
138,진원생명과학,"52,800","1,300",+2.52%,"1,000","23,860","45,189",15.23,"15,673,309",-120.82,-30.43,
139,한화,"30,500",700,-2.24%,"5,000","22,862","74,959",18.09,"519,881",7.81,4.79,
140,현대해상,"25,450",150,+0.59%,500,"22,752","89,400",28.47,"816,291",6.15,7.13,
141,대웅,"38,500","1,550",-3.87%,500,"22,385","58,142",4.00,"1,218,458",26.01,15.10,
142,LS,"69,300",100,+0.14%,"5,000","22,315","32,200",14.66,"138,031",12.21,3.94,
143,효성첨단소재,"491,500","4,500",+0.92%,"5,000","22,019","4,480",10.81,"104,166",60.66,0.03,
144,효성,"104,000","2,000",+1.96%,"5,000","21,914","21,071",9.56,"145,848",77.73,-2.26,
145,TIGER 200,"43,295",450,-1.03%,0,"21,323","49,250",0.00,"482,459",N/A,N/A,
